name,sku,description
iPhone 15 Pro,IPH15PRO001,Latest iPhone with titanium design and A17 Pro chip
Samsung Galaxy S24,SAM-S24-256,Premium Android smartphone with AI features
MacBook Air M3,MBA-M3-512,Lightweight laptop with M3 chip and 512GB storage
Dell XPS 13,DELL-XPS13-I7,Ultrabook with Intel i7 processor and 16GB RAM
Sony WH-1000XM5,SONY-WH1000XM5,Noise-cancelling over-ear headphones
AirPods Pro 2,APP-PRO2-USB,Wireless earbuds with active noise cancellation
iPad Pro 12.9,IPD-PRO129-1TB,Professional tablet with M2 chip and 1TB storage
Surface Laptop 5,SFC-LT5-I5,Microsoft laptop with touchscreen display
Canon EOS R5,CAN-EOSR5-BODY,Professional mirrorless camera body
Logitech MX Master 3,LOG-MXM3-BLK,Ergonomic wireless mouse for productivity
